BoxGUID;ArticleGUID;Position;Description;GTIN;Quantity;Unit;ExpiryDate
00D9C7F2-FB06-48CE-522E-563381364BA6;0026C190-FE42-448B-7673-26CAB525577E;5.4;Safety glase, ENHA, plastic, eye enclosing;;5;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;7292BD50-DBD1-4D49-94AA-F3CCC2FF666E;5.5;Gloves, nitril, Camatril, Honeywell, green, size 7;;1;pair;2025-04-30 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;7215470C-FC58-4A88-8A86-1620B68BDC44;5.6;Gloves, nitril, Camatril, Honeywell, green, size 8;;1;pair;2025-04-30 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;935DE893-CA80-400F-73C7-0ED5F18B3577;5.7;Gloves, nitril, Camatril, Honeywell, green, size 9;;2;pair;
00D9C7F2-FB06-48CE-522E-563381364BA6;6D82D8A7-767C-4034-8E48-FA6315280DBB;5.8;Gloves, nitril, Camatril, Honeywell, green, size 10;;2;pair;
00D9C7F2-FB06-48CE-522E-563381364BA6;73667B7D-A5D9-440B-8A1A-3AEFEAE5BAE0;5.9;Gloves, nitril, Camatril, Honeywell, green, size 11;;1;pair;
00D9C7F2-FB06-48CE-522E-563381364BA6;562A9E58-29A7-42C1-7275-67097646E330;6;Photometer Test Kits;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;1EE255EF-0589-4A04-7330-BDCADDDA963E;6.1;Plastic Box, 40x30x23,5cm, grey, Auer;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;420E834D-1EDB-48C1-70D5-67AD24435FB5;6.10;Phenol Test No1, blister 10 tab;;20;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;ADE00403-E2CF-411F-9772-B99D337DEE5A;6.11;Phenol Test No2, blister 10 tab;;20;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;4D18AA0A-6B49-44F1-569C-9FAC5F51D2B2;6.12;Water Test Reagent, Nitrate, AP163, Palintest;;1;set;2030-11-30 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;AC30DD3F-C856-4BED-5B39-05CE2C81BB21;6.13;Water Test Reagent Nitricol, Palintest,  blister 10 tab;;20;pcs;2030-11-30 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;3BB75DDB-23E7-4A35-8375-54404B66C6C0;6.14;Nitratest, tabletts;;4;pcs;2022-09-30 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;43EA2350-0884-42A2-7146-0F6EC2A8CC2C;6.15;Nitratest, powder;;2;pcs;2022-09-30 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;923C2B1B-4182-4905-5695-C647922EBE0D;6.16;Water Test Reagent, Iron, AP 156, Palintest, 25 blister 10 tab;;1;pcs;2022-07-06 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;EB9BAEC5-BAB6-4E9A-7EE9-901938C21064;6.17;Water Test Reagent, Aluminium, AP166, Palintest;;1;set;2025-05-01 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;EC193A77-39A7-4CD5-5C1C-E378DC0961ED;6.18;Aluminium No1, blister 10 tab;;25;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;A97B7C73-6AF5-4CDD-8D3B-1C7B26E3846A;6.19;Aluminium No2, blister 10 tab;;25;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;DAEC6969-62C6-4073-9D52-5BEA089C084D;6.2;Water Test Reagent, Flouride, AP179, Palintest;;1;set;2025-07-01 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;182C7603-F435-4C06-991F-8E0B75DFF29C;6.20;Water Test Reagent, Ammonium, AP152,  Palintest;;1;set;2024-09-01 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;4935D2CF-5186-4A02-85F8-5CDFB6A5C520;6.21;Ammonia No. 2 tablets, AP152, 250 pc;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;63ADD0B6-96CB-4C8A-7598-FD3449303134;6.22;Ammonia No. 1 tablets, AP152, 250 pc;;1;pcs;2024-09-01 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;96D043B4-1D68-45AE-5692-CA3D1609A6CE;6.23;Water Test Reagent, Chlorine DPD 1/3, AP031, Palintest;;1;set;2030-03-01 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;E3AC7775-C2DD-4007-8579-5D3E76D31099;6.24;DPD No1, blister 10 tab;;25;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;B48122FA-A377-4100-954A-57ED6E386934;6.25;DPD No3, blister 10 tab;;25;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;81EE4840-0144-421E-7FDF-B51C2FEB085F;6.26;Water Test Reagent, Zinc, AP148, Palintest, 10tab;;1;set;2024-07-01 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;1A9FE86C-9F4E-47E4-50AF-64B3E508FE09;6.27;Water Test Reagent, Zinc, PM148, Palintest, 10 tab;;5;pcs;2030-05-30 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;B143802B-0664-43F2-7D81-763A20FB5BC6;6.28;Water Test Reagent, Zinc-Dechlor, Palintest, blister 10 tab;;10;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;FCCAD8C9-0850-49A6-95CC-9B3CA49E4B92;6.29;Water Test Reagent Nitrit (Nitricol) Palin AP109;;1;pcs;2030-07-30 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;06C29D35-4D24-4347-7562-361841CFD1BA;6.3;Water Test Reagent, Fluor No. 1, Palintest, blister 10 tab;;20;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;B3BE42CC-BE93-4945-8976-CD015C4F94EB;6.30;Palin AP109 blister � 10 tab;;25;;
00D9C7F2-FB06-48CE-522E-563381364BA6;C014A8DD-5316-4548-84AD-958E681D918F;6.4;Fluoride No 2, tab;;4;botle;
00D9C7F2-FB06-48CE-522E-563381364BA6;1C906508-32ED-4897-73D4-1F91329F569D;6.5;Water Test Reagent, Sulfide, AP168, Palintest;;1;set;2025-02-01 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;4C02B33F-411E-4BA9-7915-A3A3D0BD74F6;6.6;Water Test Reagent, Sulfide No. 2, Palintest, blister 10 tab;;20;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;E7FEBF56-870D-4931-5E41-6FCF5D9B768E;6.7;Water Test Reagent, Sulfide No. 1, Palintest, blister 8 tab;;25;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;2B7573CA-1637-4654-70BA-803550B6BEEA;6.8;Water Test Reagent, Phenol, AP287, Palintest;;1;pcs;2025-07-01 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;59BA28E3-D4B5-4D69-5666-5BB255BF4C1F;6.9;Phenol Test PR, blister 10 tab;;20;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;E929113C-6DEE-41E2-9DB3-5A5D0C62238A;7;Turbidimeter tube 2-parts;;1;;
00D9C7F2-FB06-48CE-522E-563381364BA6;66C2225A-B992-46D3-5AD9-2F9E02BD1277;8;Multiparameter Measuraing Kit;;1;;
00D9C7F2-FB06-48CE-522E-563381364BA6;BD685AED-989A-4947-7C7F-C791CB81986A;8.1;Multiparameter Test Sensor Palin PT162;;1;;
00D9C7F2-FB06-48CE-522E-563381364BA6;70CE41DA-3D83-4058-9E9A-2ECC31325F25;8.2;Buffer Solution 60ml Palin PT122/12;;1;;
00D9C7F2-FB06-48CE-522E-563381364BA6;2DCEA8D7-B785-417C-527E-097B80056F2B;8.3;Calibration Solution 60ml Palin PT142/7;;1;;
00D9C7F2-FB06-48CE-522E-563381364BA6;BAE25021-F7F5-4CBD-50DF-ACE3B6C95384;8.4;Battery for sensor;;8;;
00D9C7F2-FB06-48CE-522E-563381364BA6;09E1F2B1-A8E7-4EC5-7D17-41A1F21198C4;8.5;Stopwatch  Quantum;;1;;
00D9C7F2-FB06-48CE-522E-563381364BA6;88849A32-B271-49F5-87E1-8AE46FB3C227;9;Lab Kit 2;;;;
00D9C7F2-FB06-48CE-522E-563381364BA6;C5FD1785-1445-4D7B-9AC6-ED1A1AEA9E7D;9.1;Stirring rod PE 300x12mm;;2;;
00D9C7F2-FB06-48CE-522E-563381364BA6;9FC365C9-BE2D-407D-8257-4F40A5D54ECE;9.2;Wide neck sample bottle PE 250ml;;5;;
00D9C7F2-FB06-48CE-522E-563381364BA6;81BEDCAC-E533-418B-587A-A016F39536A7;9.3;Wide neck sample bottle PE 500ml;;1;;
00D9C7F2-FB06-48CE-522E-563381364BA6;BE33F0F0-DF0B-47A0-8047-4B75DC9B8653;9.4;Palin test vial 20ml;;1;;
01A5A271-9818-4867-8A47-824C4F0947E2;3355737C-7112-402B-5C3D-7D95E624B2C1;1;Handwshing Unit 3;;1;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;72A9C5CA-60D5-4229-5D11-2AFFF3423761;1;Aluminium box, 60x39x41cm;;1;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;D7F0A570-406E-437D-9CCA-EE58DAED4171;10;Drinking bottle, plastic, Flip Top;;1;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;C9684065-D0DF-49C4-7E45-0CC3ED9D7F7C;11;Mug, metal, 0,3l, Fritz Berger;;1;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;DB685F60-7819-4CB2-59C3-B64585ADFFBA;12;Toilet paper;;1;roll;
01A7455C-F560-42B9-5902-1A788F5B4397;9C60FB25-2A24-46E2-7B43-8567CA4B3961;13;Safety cap, red;;1;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;4461BC6F-2F8A-44F4-970D-3F097A6FCBC5;14;Mosquito dome, green, MilTec;;1;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;E50451CB-C985-4D94-57E3-EA8842EF8126;15;Whistle;;1;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;42422095-D32F-41FF-7820-23E1DF006A48;16;Cloth hanger;;2;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;F132DB0B-0819-4842-82C4-6AB49332F58D;18;Cargo pants, size l;;1;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;3B6B0C73-68F7-4D1E-5005-1A839170DD03;19;Elastic band, for pants;;1;pair;
01A7455C-F560-42B9-5902-1A788F5B4397;1A6C9276-0E54-42B4-8162-C8ABE6E7CC80;2;First aid kit;;1;set;
01A7455C-F560-42B9-5902-1A788F5B4397;BEE7B912-EAE6-43F8-534A-8B97C97C45B1;2.1;Anti mosquito milk, Jaico;;2;pcs;2026-05-01 00:00:00
01A7455C-F560-42B9-5902-1A788F5B4397;F88D1868-59E1-45D3-510A-6C4EB52B805B;2.2;Plaster set, Activ-Set, Aluderm, 10pc;;1;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;0BCB056E-E9D0-4E61-89F0-A00DA8F609E9;2.3;Compress, 10x10cm, DermaCare;;1;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;4AAE2E8C-713D-4DD9-9885-DE3BA216B73D;2.4;Thermometer, digital, Westmed Praxis;;1;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;4C3BB2FB-ABAC-493D-89E5-3764E90E0FF7;2.5;Face mask, 3ply;;2;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;78F703B6-648B-4CE9-77BE-2A94F0F80F74;2.6;Rehydration salt, O.R.S, Care Plus, 10pc;;1;pcs;2024-03-01 00:00:00
01A7455C-F560-42B9-5902-1A788F5B4397;ADFD2188-E0FA-4967-9C99-EB342BE2CF18;2.7;Water purification tablets, blister, Micropur Forte MF 1T;;1;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;8A8B7539-7D24-42B6-9242-8B9ECD544F08;2.8;Compression bandage, elastic, Urgoband, 6cm x 5m;;1;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;1E47E1AD-E77F-4431-5456-1506BAD2AAA4;20;EPa, Cold regions;;1;package;2026-05-01 00:00:00
01A7455C-F560-42B9-5902-1A788F5B4397;5FA67D84-843D-4C89-5FE0-A1D0CEEC9139;3;Sleeping bag, Lite pak 800, High Peak;001690232876;1;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;81F42870-E474-4036-97C8-FD91AF825FFB;4;Camp bed mattress,;;;;
01A7455C-F560-42B9-5902-1A788F5B4397;25F5B9E9-40CE-44FD-8D10-C365A914DFD1;5;Hand washing-paste, Active Pearls, Ivraxo;;1;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;662E6697-E22F-4EEF-5A3E-37756DC762AD;6;Work gloves;;1;pair;
01A7455C-F560-42B9-5902-1A788F5B4397;7D981D9F-DA46-44C3-53DC-D9270F844092;7;Headlight, Fox;;1;pcs;
01A7455C-F560-42B9-5902-1A788F5B4397;5E54F988-9C14-4488-819E-B514C059911A;8;Cuttlery;;1;set;
01A7455C-F560-42B9-5902-1A788F5B4397;7A81897B-D362-4E17-70C5-3132CA8B2E6F;9;Battery, AAA, rechargable, Ni-Mh;;4;pcs;
02BC6A81-438A-4AFE-8413-B175282262C7;F4DA288D-3EFC-40AD-754A-01A4BFE6B378;1;Wood box, 193x93x90cm;;1;pcs;
02BC6A81-438A-4AFE-8413-B175282262C7;449B7D9B-EC9B-4769-94F4-9D2A37AACB00;2;Lashing trough (x4) + scantlings (x1 Set);;1;pcs;
02BC6A81-438A-4AFE-8413-B175282262C7;ECFD540E-413D-4A31-88B6-B5DDD81F2C0B;3;Heater Canon, ITA 35 R 120x60x80cm;;1;pcs;
02BC6A81-438A-4AFE-8413-B175282262C7;EB786057-9EE0-41EF-970E-0128692A41FB;4;Air hose, for heater canon;;1;pcs;
02BC6A81-438A-4AFE-8413-B175282262C7;F8C45DF3-3F36-46C3-7A7A-5C6ABD2020F8;5;Tension belt;;4;pcs;
031128E8-DD96-4A2A-87EC-A6A5BE55141B;8A61ACF0-098E-4860-7A7E-6643657843AC;1;Field Toilet SanModul T080 No.1;;1;pcs;
031128E8-DD96-4A2A-87EC-A6A5BE55141B;004F4279-69A6-487A-8770-F643EFD9E523;2;Field Toilet accessory kit;;;;
031128E8-DD96-4A2A-87EC-A6A5BE55141B;FA4109ED-13BC-419D-56AA-892C79137810;2.1;Mains cable 3m, orange, IP54 plugs;;1;pcs;
031128E8-DD96-4A2A-87EC-A6A5BE55141B;D35751AC-1650-4D26-56D4-A70ABFEB6819;2.2;Cascading cable 3m, blue, IP68 connectors;;1;pcs;
031128E8-DD96-4A2A-87EC-A6A5BE55141B;87579E0F-0F97-4457-7914-24310FD91F6F;2.5;spray can;;1;pcs;
031128E8-DD96-4A2A-87EC-A6A5BE55141B;9879998E-D42B-4F33-9438-FBA9C0D1BD78;2.6;coconut fibre block;;12;pcs;
031128E8-DD96-4A2A-87EC-A6A5BE55141B;9CC45489-F404-4AE8-5522-8D9581B03E40;2.7;Exhaust hose 1,5m DN40;;1;pcs;
031128E8-DD96-4A2A-87EC-A6A5BE55141B;4D2B3B25-B94B-4899-7B3A-F534AD44C228;2.8;AC/DC adaptor 230V to 12V/2A/=;;1;pcs;
031128E8-DD96-4A2A-87EC-A6A5BE55141B;A5BE2647-8FE7-45C2-926A-2974EFDD43C6;2.9;Compostable Paper bags 60l;;10;pcs;
031128E8-DD96-4A2A-87EC-A6A5BE55141B;F261876E-7D9C-49C5-752C-E6827009C900;3;Ratched strap 2,5cmx4m, 250daN, orange;;1;pcs;
0AD13DC8-05C3-4EAB-97F4-1E435C37D308;582EAE6B-9C23-4BAE-55D0-3A3BFB28E3BB;1;Transport box, 81x70x52cm;;1;boxes;
0AD13DC8-05C3-4EAB-97F4-1E435C37D308;EB991C7F-43CC-4718-596E-36087DCE032B;2;Aspen 3300 M, water purifier;;1;kit;
0D32D002-EE68-45AE-5E1E-70BED56F7C8E;9A9B9F9D-AFD1-4062-54E5-36887FD4628A;1;Aluminium box, 79x59x63cm;;1;pcs;
0D32D002-EE68-45AE-5E1E-70BED56F7C8E;6AA1CBAB-E645-4E99-805D-3E17D0EC5C10;2;Forms / Wristbands;;1;set;
0D32D002-EE68-45AE-5E1E-70BED56F7C8E;D79B6919-9A98-4459-73B4-B7B0554D0FDF;2.1;Plastic Box, 60x40x43,5cm, grey, Auer;;1;pcs;
0D32D002-EE68-45AE-5E1E-70BED56F7C8E;5A21F6E3-96B7-41A8-5F2E-8C81EE3D31C1;2.10;Folder, 32x8cm;;8;pcs;
0D32D002-EE68-45AE-5E1E-70BED56F7C8E;2D83A03D-8181-4953-5243-76E9B54E0A16;2.11;Copy paper, A4, 500 sheets;;1;package;
0D32D002-EE68-45AE-5E1E-70BED56F7C8E;CC5A0D1C-0B6A-4A18-5F83-7F522C3A4D81;2.12;Clipboard, A4;;8;pcs;
0D32D002-EE68-45AE-5E1E-70BED56F7C8E;A85C01C0-14A9-400C-5C3D-9733464AD753;2.13;Note book, A5, hard cover, sqared;4008110283531;3;pcs;
0D32D002-EE68-45AE-5E1E-70BED56F7C8E;F8DEBE88-E20F-48F4-80A5-31070189A258;2.14;College block, A4, squared;4250111702591;3;pcs;
0D32D002-EE68-45AE-5E1E-70BED56F7C8E;878B2E52-9530-4824-569C-78C0841BB97D;2.15;Note book, A5, soft cover, squared;4003273560499;2;pcs;
0D32D002-EE68-45AE-5E1E-70BED56F7C8E;CF6BFC9B-2464-4107-51A5-6B04A0184478;2.2;Patient referral form, 100pc;;1;carton;
0D32D002-EE68-45AE-5E1E-70BED56F7C8E;FA3B5E87-04D3-4C20-8003-584FB31E13E1;2.3;Patient wrist band, white, 500pc;;3;carton;
0D32D002-EE68-45AE-5E1E-70BED56F7C8E;142CE3A9-F0ED-4275-8342-70ACA4472C20;2.4;Patient record form, 100 pc;;5;carton;
0D32D002-EE68-45AE-5E1E-70BED56F7C8E;5BE677D1-18F6-4FBB-53D3-81BEA5B28850;2.5;Wristband, triage, delayed, yellow, 300pc;;1;set;
0D32D002-EE68-45AE-5E1E-70BED56F7C8E;C6936FD3-794D-42AA-89A5-50BD3D0D9AF8;2.6;Wristband, triage, immediate, red, 300pc;;1;set;
0D32D002-EE68-45AE-5E1E-70BED56F7C8E;C536FFD4-E408-4E50-717F-2D2D37883015;2.7;Wristband, triage, expectant, black, 100pc;;1;set;
0D32D002-EE68-45AE-5E1E-70BED56F7C8E;9ED6FBF5-C898-4812-7880-F6CA0947513A;2.8;Wristband, triage, expectant, green, 300pc;;1;set;
0D32D002-EE68-45AE-5E1E-70BED56F7C8E;4189B69E-3EA2-4CAD-8531-26067AF36723;2.9;Number lable, 1-1500, 12 rolls � 125;;1;package;
0DC0B62B-9719-46D4-5598-435903B88218;29E0FB2D-664E-465D-514E-5C7C57E2852D;1;Aluminium box, 79x59x63cm;;1;box;
0DC0B62B-9719-46D4-5598-435903B88218;48016DF6-5C39-4A27-8FCA-900B8459124A;2;Body bag, Hygostar, 210x90cm Art,Nr.52830;;10;pcs;
0DC0B62B-9719-46D4-5598-435903B88218;3B7397D2-3E7B-4801-8E7F-F1C09F2245EC;3;Rescue sheet;;31;pcs;
0DC0B62B-9719-46D4-5598-435903B88218;9AA2E403-52F6-45A3-958B-9A002DB5F72A;4;First aid kit, DIN 13164;;1;set;2025-09-30 00:00:00
0DC0B62B-9719-46D4-5598-435903B88218;3499E871-15B3-4B1E-8EB0-B5BC681107D5;5;First aid kit, DIN 13164;;1;set;
0DC0B62B-9719-46D4-5598-435903B88218;36EB9A23-8C97-485E-7D24-47856376B7CE;6;First aid kit, DIN 13164;;1;set;2026-02-28 00:00:00
0DC0B62B-9719-46D4-5598-435903B88218;54510F82-BF1A-43A0-87DF-215EE95F5363;7;First aid kit, DIN 13164;;1;set;2026-04-30 00:00:00
0DCD0CDB-F1AD-469D-901B-260B5176448B;1D4BB55D-7B7F-4B29-884F-74FD7B9EAC33;1;Aluminium box, 79x39x38cm;;1;box;
0DCD0CDB-F1AD-469D-901B-260B5176448B;6057D78E-73BD-4618-80F1-3BC92AFE1C1D;10;Drinking bottle, plastic;;1;pcs;
0DCD0CDB-F1AD-469D-901B-260B5176448B;7AD690AC-48DA-4E12-70D9-CCBA007E7606;11;Mug, metal, 0,3l, Fritz Berger;;1;pcs;
0DCD0CDB-F1AD-469D-901B-260B5176448B;4A3F21AB-3399-4C91-544B-1656F14CAAB3;12;Toilet paper;;1;roll;
0DCD0CDB-F1AD-469D-901B-260B5176448B;4C6C9075-959F-461A-5FD9-EFAB5586232E;13;Safety cap, red;;1;pcs;
0DCD0CDB-F1AD-469D-901B-260B5176448B;9318D450-8F47-4B7E-9874-437997B439E0;14;Mosquito dome, green, MilTec;;1;pcs;
0DCD0CDB-F1AD-469D-901B-260B5176448B;29428646-7AD7-4EF6-9678-5588AC764348;15;;Whistle;1766822000;1;pcs
